Muestreo	Fecha	Hora	ZT	Notas		1	2	3	4	5			6	7	8	9	10	11
261		10:00:30 a. m.	3		0	149	0	47	12	586	0	0	130	154	0	105	10	16
262		10:30:30 a. m.	3.5		0	0	128	0	11	581	0	0	2722	8	362	0	10	12
263		11:00:30 a. m.	4		0	91	0	9	29	259	0	0	335	117	99	0	41	227
264		11:30:30 a. m.	4.5		0	1291	0	0	954	558	0	0	49	375	0	0	209	53
265		12:00:30 p. m.	5		0	250	47	37	268	670	0	0	0	18	0	45	470	54
266		12:30:30 p. m.	5.5		0	9	0	977	0	1	0	0	55	668	0	43	10	69
267		1:00:30 p. m.	6		0	0	0	0	0	0	0	0	934	0	0	0	10	9
268		1:30:30 p. m.	6.5		36	38	448	9	1224	125	7	9	46	288	0	0	114	0
269		2:00:30 p. m.	7		489	386	99	9	2002	124	0	0	89	521	7	0	0	0
270		2:30:30 p. m.	7.5		19	110	63	157	1154	2173	0	0	987	1793	148	389	1372	1518
271		3:00:30 p. m.	8		0	95	0	0	855	349	0	0	1888	2986	385	863	2923	3700
272		3:30:30 p. m.	8.5		0	0	18	0	11	175	0	0	1453	2058	196	116	2929	1182
273		4:00:30 p. m.	9		0	104	10	0	30	318	0	0	303	1148	8	6	902	1537
274		4:30:30 p. m.	9.5		0	140	0	0	11	160	0	0	85	72	8	0	10	611
275		5:00:30 p. m.	10		0	0	0	0	47	215	0	0	48	135	38	156	10	587
276		5:30:30 p. m.	10.5		0	37	0	0	0	584	0	0	124	327	0	9	19	873
277		6:00:30 p. m.	11		0	37	75	0	846	752	0	0	102	25	0	96	0	944
278		6:30:30 p. m.	11.5		0	0	56	0	203	62	0	0	157	225	20	920	96	1535
279		7:00:30 p. m.	12		0	438	0	222	91	590	0	0	2542	1037	42	866	2075	2970
280		7:30:30 p. m.	12.5		0	26	110	0	896	522	0	0	251	798	45	397	1090	2349
281		8:00:30 p. m.	13		0	465	591	83	1089	395	0	0	189	290	18	806	1062	845
282		8:30:30 p. m.	13.5		0	356	1740	787	200	715	0	0	380	229	412	1070	1841	2076
283		9:00:30 p. m.	14		0	242	165	354	126	1401	0	0	1212	489	0	1807	3109	2467
284		9:30:30 p. m.	14.5		0	1241	19	1023	780	1212	0	0	2537	551	118	1423	2050	2786
285		10:00:30 p. m.	15		0	450	262	287	1314	1463	0	0	939	1376	93	748	2364	972
286		10:30:30 p. m.	15.5		0	325	614	653	1931	1684	0	0	5251	1519	459	161	2599	31
287		11:00:30 p. m.	16		0	177	1584	1308	466	1195	0	0	3805	1064	131	0	1541	159
288		11:30:30 p. m.	16.5		0	194	1116	977	742	473	0	0	388	53	7	83	1761	191
289	27-ene-23	12:00:30 a. m.	17		0	609	0	1918	1534	744	0	0	3225	1033	14	101	2398	876
290		12:30:30 a. m.	17.5		0	1751	9	451	307	872	0	0	1917	1106	212	129	3231	168
291		1:00:30 a. m.	18		0	37	0	1164	762	1560	0	0	185	959	6	25	2931	299
292		1:30:30 a. m.	18.5		0	157	118	1156	431	2940	0	0	612	1239	620	1249	1471	795
293		2:00:30 a. m.	19		0	279	359	505	1219	1835	0	0	1888	3182	0	206	2956	2794
294		2:30:30 a. m.	19.5		0	1231	1416	2640	1477	74	0	0	841	1860	174	25	4420	119
295		3:00:30 a. m.	20		0	0	171	2219	192	2474	0	0	2002	51	23	8	757	225
